Dataset,Triangles,ACC,GCC,LWC ACC,Min Degree,Max Degree,Avg Degree
Wiki-Vote.txt,608389,0.14089784589308743,0.12547914899233995,0.14187491841626348,1,1065,28.32382290934645
soc-wiki-Vote.mtx,2119,0.15284694735014312,0.12734885211747266,0.152846947350143,1,102,6.555680539932508
web-Google.txt,13391903,0.5142961475353862,0.0552306264884374,0.5190321179360704,1,6332,9.870930316210904
web-NotreDame.txt,8910005,0.2417871186789608,0.08741791513883669,0.24178711867896321,1,10721,6.777631098244246
web-Stanford.txt,11329473,0.5976304608026036,0.008617602328600992,0.618891216799397,1,38625,14.13703295105054
