method,k,mae,total_time,time_select_landmarks,time_compute_landmark_distances,time_estimate_distance_basic,time_landmarks_basic
random,5,4.029411764705882,0.742467832003058,0.00416178900104569,0.3657618380011627,0.00044954400073038414,0.37209466100011923
random,10,3.4411764705882355,1.5031720440001664,0.004563205998238118,0.7449238350036467,0.0005941690023973933,0.7530908339958842
random,20,2.5,2.6927470000064204,0.0050531710039649624,1.3379165360020124,0.0006798350004828535,1.3490974579999602
random,50,1.2941176470588236,6.69178608699076,0.005625458000395156,3.33150341799319,0.0010525869956836686,3.353604624001491
random,100,1.4411764705882353,13.818300879996968,0.007199834996754362,6.881118045996118,0.002621167000143032,6.927361832003953
random,200,0.9411764705882353,26.804452339993077,0.009687503995337465,13.34435679300168,0.005736709994380362,13.44467133300168
degree,5,2.6176470588235294,0.9900631640030042,0.06774525100263418,0.42591545799950836,0.00027016100102628116,0.4961322939998354
degree,10,2.3529411764705883,1.8283200360010596,0.060056751002775854,0.8519340410011864,0.00043424500290711876,0.9158949989941902
degree,20,1.911764705882353,3.4579585380015487,0.05891145600253367,1.6655647100005808,0.0005582910007433384,1.732924080997691
degree,50,1.3235294117647058,9.050757372007865,0.06960337400232675,4.442900418001955,0.0015412080028909259,4.536712372000693
degree,100,0.9411764705882353,17.23339695500181,0.06040699800087168,8.52979812600097,0.002880998000364343,8.640310832999603
degree,200,0.23529411764705882,33.76066387700121,0.059231752002233407,16.761260333999417,0.006108460000177729,16.93406333099938
coverage,5,1.6470588235294117,7.974324176002483,3.5396586679971733,0.44601387700186024,0.0003252539991080994,3.9883263770043413
coverage,10,1.588235294117647,8.176920741995673,3.2690068289975898,0.8176536660012061,0.0002733309966060915,4.089986916000271
coverage,20,0.7058823529411765,10.521497627009921,3.5144412510062466,1.742114458999822,0.0005776260086349794,5.264364290995218
coverage,50,0.5588235294117647,12.095746213004531,3.3361337070000445,2.7050511690022176,0.0005588320018432569,6.054002505000426
coverage,100,0.6176470588235294,12.708667504993173,3.5372248739940915,2.809613796001031,0.0008764609992795158,6.360952373998771
coverage,200,0.6176470588235294,12.530832876000204,3.430943749001017,2.827347792997898,0.0008274180017906474,6.271713915999499
