method,k,mae,total_time,time_select_landmarks,time_compute_landmark_distances,time_estimate_distance_basic,time_landmarks_basic
random,5,2.5348837209302326,11.387029623012495,0.009268287005397724,5.6738815429980605,0.0004680860074586235,5.703411707001578
random,10,2.302325581395349,23.123078213991903,0.009971913996196236,11.530715587996383,0.0007955040018714499,11.581595207997452
random,20,2.0,44.57466102998842,0.010213496996584581,22.239149622000696,0.0013688680010091048,22.32392904299013
random,50,1.4883720930232558,116.65246357599062,0.014861327994367457,58.2090288320087,0.004050875992106739,58.42452253999545
random,100,1.2093023255813953,227.3841961219914,0.01563429000088945,113.4830142489991,0.007017833995632827,113.87852974899579
random,200,1.1162790697674418,454.8856565050064,0.01764791899586271,226.9504804170083,0.025902294006300508,227.89162587499595
degree,5,1.0465116279069768,12.667738749996715,0.27011312800277665,6.0536143309946056,0.00047174699466268066,6.3435395440046705
degree,10,0.8372093023255814,24.29007233300763,0.2554331699957402,11.868722914005048,0.0007480840049538529,12.165168165001887
degree,20,0.6046511627906976,50.02624225600084,0.2527114629992866,24.72296483601349,0.0016271679942292394,25.048938788993837
degree,50,0.3488372093023256,119.67236549599511,0.252075832004266,59.49589587299852,0.003208627000276465,59.92118516399205
degree,100,0.27906976744186046,238.19092071598607,0.2520485459936026,118.65188696099722,0.007203293000202393,119.27978191599504
degree,200,0.2558139534883721,472.49806867300686,0.26342754200777563,235.54603892199702,0.01276895899536612,236.6758332500067
coverage,5,1.069767441860465,89.30676179200418,38.04170142000294,6.600029331992118,0.0005424570099421544,44.664488582999184
coverage,10,1.186046511627907,96.94903496300867,36.314572002000205,12.138186251000661,0.0008046260045375675,48.49547208400327
coverage,20,0.8372093023255814,124.4267020460029,37.771696418998545,24.402858955998454,0.001261833000171464,62.25088483800573
coverage,50,0.7209302325581395,223.87932245699994,42.67035966399999,69.15965337200032,0.004312833996664267,112.04499658700297
coverage,100,0.5813953488372093,272.35678696199284,39.36749537699325,96.6590511229897,0.00430466900979809,136.3259357930001
coverage,200,0.627906976744186,283.5913387599958,41.00478554799702,100.63470737799798,0.00540795900633384,141.94643787499444
