method,k,mae,total_time,time_select_landmarks,time_build_spt,time_landmarks_sc,time_get_path,time_distance_sc
random,5,1.2666666666666666,0.698073955005384,0.0038810809965070803,0.34292008099328086,0.3500640830043267,0.0002893790097004967,0.0009193310015689349
random,10,0.6333333333333333,1.2974360210173472,0.004011416996945627,0.6408683830031805,0.6506175869944855,0.0004790070142917102,0.0014596270084439311
random,20,0.3333333333333333,2.526836220986297,0.004204586002742872,1.2520350259874249,1.2670795030007866,0.0008580620251450455,0.002659043970197672
random,50,0.0,6.2649774349974905,0.00427220900382963,3.111422118017799,3.1414052920008544,0.0019325769662827952,0.005945239008724457
random,100,0.0,13.326608975010458,0.005216873994868365,6.621285864008314,6.682275620996734,0.0043753440004365984,0.013455272010105546
random,200,0.0,26.02312605393854,0.006090086993935984,12.93392118806878,13.048619502002111,0.00859095496161899,0.02590432191209402
degree,5,1.3333333333333333,0.9475119469698257,0.06373204499504936,0.4076529889862286,0.4749556640126684,0.0002836249677784508,0.0008876240081008291
degree,10,1.2,1.755114667928865,0.05298700399544032,0.8198812549635477,0.8799625020001258,0.0005612789555016207,0.0017226280142494943
degree,20,0.8666666666666667,3.7481649850324175,0.05700208499911241,1.806300910004211,1.8794029179935023,0.0013083150424790801,0.004150756993112736
degree,50,0.43333333333333335,8.402534990105778,0.05429928799640038,4.124251446008202,4.213169289994767,0.0026090110859513516,0.008205955020457623
degree,100,0.2,16.719503225955123,0.05419525099750899,8.260851792947506,8.383409293001023,0.005076493996966747,0.015970395012118388
degree,200,0.03333333333333333,32.55858127403553,0.053592624004522804,16.139618961082306,16.325314502006222,0.00968459497562435,0.03037059196685732
coverage,5,0.8,7.947529285978817,3.529717289002292,0.4413876659964444,3.9750782520040957,0.00032007498521124944,0.0010260039907734608
coverage,10,0.2,7.922110584035181,3.16457541600721,0.7921534579800209,3.9633711710048374,0.0004990340257791104,0.0015115050173335476
coverage,20,0.06666666666666667,10.123519384902465,3.360850085002312,1.6912845179795113,5.066660412991041,0.001149916963186115,0.0035744519664149266
coverage,50,0.1,11.664130282961196,3.215789959003814,2.602328162978665,5.839492461998816,0.0016172449941223022,0.004902453985778266
coverage,100,0.06666666666666667,12.234147144008602,3.3786632070114138,2.7228859109836776,6.124952289004796,0.001817514010326704,0.00582822299838881
coverage,200,0.1,11.66665520794777,3.188833792004516,2.6304471459734486,5.840855876003843,0.0016070280125859426,0.004911365953375935
