percent,random,top_degree
10,0.9942,0.8752
20.0000,0.9876,0.7322
30.0000,0.9787,0.5255
40.0000,0.9678,0.2791
50.0000,0.9536,0.0240
60.0000,0.9305,0.0001
70.0000,0.8964,0.0000
80.0000,0.8411,0.0000
90.0000,0.7223,0.0000
