percent,random,top_degree
10,0.9423,0.9069
20.0000,0.9260,0.8193
30.0000,0.9093,0.6234
40.0000,0.8804,0.2555
50.0000,0.8466,0.0081
60.0000,0.8033,0.0021
70.0000,0.7303,0.0012
80.0000,0.6148,0.0013
90.0000,0.4294,0.0016
