percent,random,top_degree
10,0.9590,0.8178
20.0000,0.9305,0.6342
30.0000,0.8967,0.2340
40.0000,0.8561,0.0000
50.0000,0.8059,0.0000
60.0000,0.7395,0.0000
70.0000,0.6470,0.0000
80.0000,0.5093,0.0000
90.0000,0.2817,0.0000
