percent,random,top_degree
10,0.7399,0.5649
20.0000,0.6898,0.0088
30.0000,0.6353,0.0035
40.0000,0.5727,0.0025
50.0000,0.5059,0.0019
60.0000,0.3968,0.0014
70.0000,0.2842,0.0019
80.0000,0.0725,0.0019
90.0000,0.0229,0.0038
