percent,random,top_degree
10,0.9912,0.9946
20.0000,0.9805,0.9808
30.0000,0.9676,0.9510
40.0000,0.9518,0.8854
50.0000,0.9313,0.7474
60.0000,0.9017,0.4781
70.0000,0.8563,0.0604
80.0000,0.7756,0.0008
90.0000,0.5850,0.0003
