selection,n,create_landmarks_time,estimate_distance,estimate_distance_time,estimate_distance_error,estimate_distance_bfs,estimate_distance_bfs_time,estimate_distance_bfs_error
Random,20,0.002842,14,0.000014,0.5555555555555556,9,0.000135,0
HighDegree,20,0.003571,12,0.000043,0.3333333333333333,9,0.000202,0
BestCoverage,20,0.012557,10,0.00001,0.1111111111111111,9,0.000193,0
Random,100,0.013474,11,0.000058,0.2222222222222222,9,0.000708,0
HighDegree,100,0.015857,11,0.00012,0.2222222222222222,9,0.000797,0
BestCoverage,100,0.017378,9,0.000059,0,9,0.00043,0
