selection,n,create_landmarks_time,estimate_distance,estimate_distance_time,estimate_distance_error,estimate_distance_bfs,estimate_distance_bfs_time,estimate_distance_bfs_error
Random,20,4.384456,8,0.000021,0.14285714285714285,8,0.001066,0.14285714285714285
HighDegree,20,4.450067,8,0.000021,0.14285714285714285,7,0.001506,0
BestCoverage,20,12.674155,11,0.000021,0.5714285714285714,7,0.000811,0
Random,100,21.011018,9,0.000172,0.2857142857142857,7,0.003756,0
HighDegree,100,21.443557,8,0.000097,0.14285714285714285,7,0.004398,0
BestCoverage,100,28.903173,9,0.000102,0.2857142857142857,7,0.003298,0
