selection,n,create_landmarks_time,estimate_distance,estimate_distance_time,estimate_distance_error,estimate_distance_bfs,estimate_distance_bfs_time,estimate_distance_bfs_error
Random,20,0.018512,5,0.000014,0.6666666666666666,3,0.000145,0
HighDegree,20,0.02194,3,0.000011,0,3,0.000172,0
BestCoverage,20,0.043029,5,0.000014,0.6666666666666666,3,0.000162,0
Random,100,0.069608,4,0.000097,0.3333333333333333,3,0.000463,0
HighDegree,100,0.075364,3,0.000097,0,3,0.000421,0
BestCoverage,100,0.105208,4,0.000111,0.3333333333333333,3,0.000578,0
